1,"canDataStage(attacker,victimHost,privateDocuments)","OR",0
2,"RULE 0 (Asset - Able to stage collected data)","AND",0
3,"dataStaged(attacker,victimHost,privateDocuments)","OR",0
4,"RULE 1 (T1074 - Data Staged)","AND",0
5,"fileAttr(victimHost,'/private',d,r,w,x,r,-,x,r,-,x)","LEAF",1
6,"accessFile(attacker,victimHost,write,'/private')","OR",0
7,"RULE 35 (BB - execCode implies file access)","AND",0
8,"canAccessFile(victimHost,victimAccount,write,'/private')","OR",0
9,"RULE 37 (BB - A legitimate account can access file)","AND",0
10,"localFileProtection(victimHost,victimAccount,write,'/private')","OR",0
11,"RULE 38 (BB - owner file access)","AND",0
12,"ownerAccessible(victimHost,write,'/private')","OR",0
13,"RULE 44 (BB - owner file access)","AND",0
14,"fileOwner(victimHost,victimAccount,'/private')","LEAF",1
15,"execCode(attacker,victimHost,victimAccount)","OR",0
16,"RULE 21 (BB - User is able to use a reverse shell)","AND",0
17,"canAccessFile(victimHost,victimAccount,exec,'/bin/bash')","OR",0
18,"RULE 37 (BB - A legitimate account can access file)","AND",0
19,"localFileProtection(victimHost,victimAccount,exec,'/bin/bash')","OR",0
20,"RULE 39 (BB - group file access)","AND",0
21,"groupAccessible(victimHost,exec,'/bin/bash')","LEAF",1
22,"fileGroupOwner(victimHost,'/bin/bash',victimGroup)","LEAF",1
23,"inGroup(victimAccount,victimGroup)","LEAF",1
24,"accessDataFlow(attacker,write,reversePupy)","OR",0
25,"RULE 22 (BB - The remote root user has write access to the dataFlow)","AND",0
26,"dataFlowReverseShell(reversePupy)","OR",0
27,"RULE 23 (BB - Reverse shell data flow)","AND",0
28,"isReverseShell(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc')","LEAF",1
29,"flowBind(reversePupy,http,1234)","OR",0
30,"RULE 26 (BB - Flow associated port and protocol)","AND",0
31,"canScriptAccessHost(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc',reversePupy,http,1234)","OR",0
32,"RULE 28 (BB - Script access an exposed service)","AND",0
33,"networkServiceInfo(pupyC2Server,root,pupyd,http,1234)","LEAF",1
34,"accessFile(victimUser,victimHost,exec,'/home/victimAccount/3aka3.doc')","OR",0
35,"RULE 35 (BB - execCode implies file access)","AND",0
36,"canAccessFile(victimHost,victimAccount,exec,'/home/victimAccount/3aka3.doc')","OR",0
37,"RULE 37 (BB - A legitimate account can access file)","AND",0
38,"localFileProtection(victimHost,victimAccount,exec,'/home/victimAccount/3aka3.doc')","OR",0
39,"RULE 38 (BB - owner file access)","AND",0
40,"ownerAccessible(victimHost,exec,'/home/victimAccount/3aka3.doc')","OR",0
41,"RULE 47 (BB - owner file access)","AND",0
42,"fileAttr(victimHost,'/home/victimAccount/3aka3.doc',-,r,w,x,-,-,-,-,-,-)","LEAF",1
43,"fileOwner(victimHost,victimAccount,'/home/victimAccount/3aka3.doc')","LEAF",1
44,"execCode(victimUser,victimHost,victimAccount)","OR",0
45,"RULE 36 (BB - A User can execute code using his account on a specific host)","AND",0
46,"hasAccount(victimUser,victimHost,victimAccount)","LEAF",1
47,"scriptNetAccess(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc',reversePupy,http,1234)","OR",0
48,"RULE 29 (BB - Direct script network access)","AND",0
